setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
1941j,1941- Counter Attack (JP),Japan,,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1941u,"1941- Counter Attack (US, 900227)",USA,900227,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1941,"1941- Counter Attack (W, 900227)",World,900227,no,,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1941r1,1941- Counter Attack (W),World,,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942fpa,1942 (Attract Mode) [hb],,Attract Mode,yes,1942,Capcom CPS-0,19XX,yes,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942c64,1942 (C64 BGM) [hb],,C64 BGM,yes,1942,Capcom CPS-0,19XX,yes,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942b,1942 (First Version),,First Version,yes,1942,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
galagax,1942 (Galaxy X) [hb],,Galaxy X,yes,1942,Capcom CPS-0,19XX,yes,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942a,1942 (Rev A),,Rev A,yes,1942,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942,"1942 (W, Rev B)",World,Rev B,no,,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942w,1942 (Williams),,Williams,yes,1942,Capcom CPS-0,19XX,no,no,1984,Capcom / Williams,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1943kais01,"1943- Kai Midway Kaisen (Ex Super, v090210) [hb]",,"Ex Super, v090210",yes,1943- The Battle of Midway,Capcom CPS-0,19XX,yes,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943kai,1943- Kai Midway Kaisen (JP),Japan,,no,,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1943j,"1943- Midway Kaisen (JP, Rev B)",Japan,Rev B,no,,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943ja,1943- Midway Kaisen (JP),Japan,,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943jah,1943- Midway Kaisen (no Protection) [hb],,no Protection,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,yes,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943,1943- The Battle of Midway (EU),Europe,,no,,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943u,1943- The Battle of Midway (US),USA,,no,,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
