setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
1941,"1941- Counter Attack (W, 900227)",World,900227,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1941j,1941- Counter Attack (JP),Japan,,no,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1941r1,1941- Counter Attack (W),World,,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1941u,"1941- Counter Attack (US, 900227)",USA,900227,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942,"1942 (W, Rev B)",World,Rev B,no,,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
1942a,1942 (Rev A),World,Rev A,yes,1942,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
1942b,1942 (First Version),World,First Version,yes,1942,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
1942c64,1942 (C64 BGM) [hb],World,C64 BGM,yes,1942,Capcom CPS-0,19XX,yes,no,1984,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
1942fpa,1942 (Attract Mode) [hb],World,Attract Mode,yes,1942,Capcom CPS-0,19XX,yes,no,1984,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
1942GXC64,1942 GalagaX + C64 Music - [hb],World,GalagaX + C64 Music,yes,1942,Capcom CPS-0,19XX,yes,no,1984,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
1942h,Supercharger 1942 (Set 2) [hb],World,Set 2,yes,1942,Capcom CPS-0,19XX,yes,no,1991,Capcom,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942HC64,1942 Supercharger + C64 Music - [hb],World,Supercharger + C64 Music,yes,1942,Capcom CPS-0,19XX,yes,no,1984,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
